source,target
Ah! I wanted to introduce you to my friend Nesrine Shafeeq. She's the co-owner of Second Chance.,اه كنت عايزة اعرف حضرتك على نسرين شفيق شريكتي في second chance
Nice to meet you!,اهلا و سهلا
"Marwan, Zeina's father.",دكتور مروان ابو زينة 
"So, what kind of doctor are you?",حضرتك دكتور في ايه بقى
Damn! What are the odds!,نشنت يعني ما شاء الله
Please excuse me for being blunt about what I'm going to ask.,معلش هو انا بيوقولو عليا ان انا صريحة ومدب حبتين 
But I know from Ola that Zeina's mother is in a much better place now; may she rest in peace. Why are you still wearing your wedding ring?,يعني هو انا عارفة من علا ان ماما زينة الله يرحمها اكيد في مكان احسن الف رحمة ونور عليها يعني بس ليه حضرتك لابس دبلة
She doesn't think before speaking. She's an idiot.,هي مبتفكرش قبل ما بتتكلم.
I apologize on her behalf.,انا بجد اسفة.
"No, it's okay, it's okay!",لا عادي عادي. 
I wear my ring so the ladies looking for men in the supermarket will leave me alone.,علشان الستات الي في السوبر ماركت الي بتدور على رجالة تسيبني في حالي.
Thanks.,الله يبارك فيك! 
Thanks.,الله يبارك فيك!
"Hi, Ola!",هاي يا علا! 
"I've been thinking about what's happened, and I believe that if you try to accept Omnia, the kids will take her too.",انا فكرت شوية كدا و شايف انك لو تقبلتي امنية ممكن الولاد كمان يتقبلوها يعني.
"How about we go for lunch, just the three of us, so that you can get to know her first?",ايه رأيك لو نروح نتغدا مع بعض كدا احنا الاول وتتعرفي عليها من غير ما يبقوا موجودين؟
"Uh, having lunch, sure!",اه، طبعا! اكيد! 
Why not?,ليه لا؟ 
"Sure, let's all go to lunch to get to know each other.",اكيد! نروح نتغدا مع بعض. جدا جدا!
"Yeah, but let's set an early time because I imagine your little Cinderella has to be at school early in the morning. We don't want her to be late for class!",اه، بس ابقى حدد ميعاد بدري بقى عشان اكيد السندريلا الصغيرة بتنام بدري عندها بقى طابور الصباح في المدرسة.
Bye-bye!,باي!
How could you do that?,ايه اللي انتي عملتيه دا؟
"Actually, it was Nesrine's idea. She was ",لا ده نسرين اللي كانت
You've disgraced me!,فضحتيني.
How could you use my picture without my permission? ,ازاي تنشري صورتي من غير اذني؟ 
I'm not even wearing a veil!,وكمان من غير حجاب! 
What do I tell your brother in Dubai?,اقول ايه لاخوكي في دبي؟ 
What do I tell your Aunt Sjukreyya?,اقول ايه لطنط شكرية؟
"Mom, relax! Just tell her you're a beautiful woman who respects her age and doesn't want to neglect her appearance.",ايه يا ماما تقوليلها ان انتي ست حلوة و ست محترمة سنها و مش عايزة تهمل في شكلها.
What's so disgraceful about that?,فين الفضيحة يعني؟
Is that what you mean?,يا سلام!
Is that what you mean by Second Chance? Tell me!,انتي قصدك ايه بفرصة تانية دي.
Do you want people to say that I'm clinging to my youth?,عايزة الناس يقولوا عليا ايه؟ بقيت متصابية؟ فتاة اعلانات؟ 
"Well, just go ahead! Why don't you stick my picture on a jar of gummy bears while at it?",اهو ده اللي ناقص تبقي تحطي صورتي كمان على علبة جيلي كولا.
"Actually, that's a great idea!",طب والله فكرة.
What do you think?,ايه رأيكوا؟
"Mother, listen to me!",ماما حبيبتي! 
"In Western countries, women your age are just starting their lives. ",الستات برة في سنك لسه بيبتدوا حياتهم. 
I'm telling you.,اه والله! 
"They're getting married, falling in love.",بيتجوزوا وبيحبو. 
Some of them are getting pregnant!,وفي منهم بيخلفوا. 
What makes you think you can't even use an anti-wrinkle cream?,انتي مستخسرة ف نفسك كريم تجاعيد؟ 
Are you expired or something?,ليه؟ شايفة نفسك expired للدرجة دي؟
"No, Mom! ",يا ماما! 
"You're fresh, fresh! As fresh as this yogurt here!",انتي فريش فريش زي الزبادي ده.
"If you don't like the picture, we can take it down.",وبعدين يا ستي مش عجباكي الصورة خلاص نشيلها. 
"Take it down, Zeina.",شيليها يا زينة على طول.
"I was going to give you a percentage of the sales profit, it's your right",أينعم انا كنت عايزة اديكي نسبة من المبيعات عشان ده حقك يعني.
"No, no! Wait, Ola! Wait, wait! Why are you being so hasty?",لا هو ايه ما خلاص ايه بس؟ 
It's just a conversation. Wait. ,ما تستني يا علا كدا. الكلام اخد و عطا. 
"Don't take it down, Zeina!",على طول شيلي يا زينة.
That's more like it!,ايوا كدا. 
What were you saying?,كنتي بتقولي ايه؟
Gorgeous.,قمر!
"All right, all right! I'll save it for the bloopers!",خلاص خلاص هحطه في المشاهد المحذوفة.
"This is Hisham, you guys!",هشام يا جماعة! 
At least let's take a photo.,طب تعالى اتصور معايا صورة عادية!
No. Forget it.,لا خلاص.
"I'm fine, really!",تمام، والله! 
"Sorry, guys.",معلش يا جماعة! 
It's just that H likes his privacy too much!,اصل اتش بيحب الprivacy بتاعته.
H likes his privacy too much!,اصل اتش بيحب الprivacy بتاعته.
Where is the emoji for contempt?,فين emoji النفسنة؟ 
Why don't they make one?,ما يعملوه بقى!
"I have a 20-year-old Egyptian young woman seeking marriage with a young man from the Gulf. Her terms, information, and phone number are all available on my YouTube channel.",توجد لدي عروسة مصرية سنها 20 سنة ترغب بالزواج من شاب خليجي الجنسية بشروطها وتفاصيلها ورقم تليفونها.
"Okay, shut up!",بس اسكتي!
"No, no! I can't have both of you go crazy at once.",لا ما هو مش انتو الاتنين هتتجننوا مرة واحدة.
What do you mean?,على ايه؟ 
Do you mean that?,على ده؟ 
"No, that was Nesrine. She just sent me this funny video as a joke.",لا ده دي نسرين كانت بعتالي فيديو كدا عشان نضحك. هزار. 
"Come on, are you crazy?",انتي مجنونة ولا ايه؟
Mommy?,مامي؟
Are you mad at me because I didn't tell you I saw Omnia with Daddy?,هو انتي زعلانة مني عشان شوفت امنية مع بابي و مقولتلكيش؟
"No, sweetie! I'm not mad at you at all! ",لا، يا روحي! لا! انا مش زعلانة منك. 
"And by the way, Daddy hasn't done anything wrong.",وعلى فكرة ولا بابا عمل حاجة غلط.
"Oh, no! Nothing at all! Except that he replaced you with someone just a few years older than me.",معملش حاجة غلط خالص غير انه راح بدلك بواحدة يدوب اكبر مني بكام سنة.
Replaced me?,بدلك؟ 
Sure.,ماشي 
"Well, it's his right.",من حقه. 
"He has the right to fall in love and remarry, whether we like it or not.",من حقه يحب و يتجوز و كل حاجة حتى لو مش على مزاجنا.
Are you ready for the bombshell?,جاهزين للقنبلة؟ 
This is going to be fun!,نلعب بقى شوية؟ 
And it's my right to do the same!,وانا كمان من حقي.
Here ma'am! ,اتفضلي، يا استاذة!
"Welcome, welcome!", يا اهلا! يا اهلا!
Come on!,انزلوا بسرعة!
"I'm fine, thank you!",الله يسلمك!
So this is the place?,هو ده المحل؟
This is it.,هو ده.
God bless.,بسم الله! ما شاء الله! 
Come on and follow me.,اتفضلوا!
Not bad!,لطيف!
Come on in.,اتفضلوا! اتفضلوا!
Step in with your right foot first!,ادخلي برجلك اليمين.
God bless! Come on in. ,بالصلاة على النبي! ما شاء الله! 
"Didn't I tell you? Bright, spacious. It has good vibes.",محل شرح وبرح ويرد الروح.
It's nice. This is beautiful. ,حلو، حلو ده! 
"Good job, Saleh.",ايوة كدا يا صالح!
"It's perfect, yeah?",مناسب ها؟
But I do think it's a bit expensive.,بس حساه غالي شوية.
Stop being so cheap!,بطلي رخص بقى بطلي رخص. 
You can wear a cheap perfume 'cause it's your own hygiene.,يعني بتسترخصي في الريحة بتاعتك وبنقول مش مشكلة دي نضافة شخصية .
But you can't be cheap about this. This is our livelihood.,انما نسترخص في المحل اكل عيشنا؟ 
This is where our clientele will be.,هنا هيبقى clientele بتاعتنا.
What?, ايه؟
Clientele,clientele
"Where did you learn French, anyway? ",اتعلمت فرنساوي فين؟ 
"Hey, come here!",تعالي اما بقولك
"What happened? Did you talk to your ex, the sugar daddy?",الموكوس بتاعك المتصابي اخباره ايه؟
Did you have to remind me?,لازم تفكريني؟ 
"He wants me and Omnia to get to know each other, so he's planning to have lunch for the three of us.",مش عايزني اتغدى معاهم؟ هو والغندورة التانية
But I'm not going alone.,ايوة بس انا مش هروح لوحدي انا بقولك اهو. 
You're coming.,انتي هتيجي معايا.
"If he marries that girl, I can't handle it alone.",شكله هيتجوزها البت دي.
What do you care anyway?,يتجوز مين؟ 
So what if he marries that girl?,وبعدين انتي مالك يتجوزها ولا يتنيل على دماغه؟ 
I don't get it. ,احنا مالنا؟ 
Why should we go have lunch with him?,نروح فين؟
Ola! Don't even think of getting married to make him jealous! ,علا اوعي تفكري تتجوزي عشان تفرسيه ولا تغظيه. 
Not a good idea.,انا عارفاكي.
As if eligible bachelors are begging at my feet.,انتي شايفة يعني العرسان على قفا من يشيل؟
"I'm a 40-year-old divorcee with two kids, for God's sake! Two kids! Two kids! Not just one.",انا يا بنتي اربعينية مطلقة معاها جوز عيال، جوز مش عيل واحد. 
"In other words, I'm an excellent old second-hand package.",يعني second hand package محترمة.
Who would want me anyway?,مين اللي هيرضى بيا؟ 
"No one, I'm going to die alone.",لا، طبعا! انا هموت لوحدي.
.What the hell?,ايه ده؟
"Yes, like So'ad.",اه زي سعاد.
"Sho'ad, she was our neighbor.",سعاد جارتنا زمان. 
She used to throw stones at us and break all our car windshields.,كانت تقعد تحدفنا بالطوب وتكسر البربريزات كلها.
"No, no. I don't feel good about this app thing.",لا، انا قلقانة اوي من موضوع الapp ده. 
I don't want to use a dating app! ,ايه dating app وبتاع؟ 
It's not my thing!,مش جوي.
How did you guys talk me into it?,وازاي اقنعتوني اصلا؟ 
"No, no.",لا! لا!
Look! Look at these pictures! ,بصي بصي الصور. 
You mean like your friend? ,اسالي صحبتك؟
I found her on the app yesterday.,دي لسه طلعالي عليه امبارح.
And where do you think I found you? On Wikipedia?,واسم الله كنت طلعتلي على ويكيبيديا؟
"You were on the app too, weren't you?",ما انت طالعلي عليه انت كمان. مالك؟
"Hey, wait a minute! ",لا معلش ثانية واحدة. 
Did you find each other on this thing? And you matched?,هو انتو طلعتو لبعض في البتاع ده؟ 
And you matched?,وماتش؟
"Clearly, it doesn't work. ",يبقى مبيشتغلش. 
Why waste my time?,نضيع وقتنا ليه؟ 
And why are there so many empty fields? ,وايه كم الخانات كتيرة اوي؟ 
How will I fill all that?,انا هملي الخانات دي ازاي؟
"Yes, just write.",ايوة اكتبي.
"Here, write that you enjoy working. ",اكتبي في الخانة دي انك بتستمتعي في الشغل. 
"Hell, no! ",لا، طبعا! 
"All you need is a hot profile picture. And whatever you put in there, keep it vague. ",لازم الصورة تكون جذابة والكلام يكون غامض mysterieux
"Okay, so what am I supposed to write?",ايوة يعني اكتب ايه يعني؟
"You're gonna write that you are a divorced woman, a breadwinner, that you haven't thought about an answer to this question in ten years, and that now, the time has come for you to enjoy every moment of being single.",اكتبي انك مطلقة وتعول ومبتفكريش في اجابة السؤال ده لمدة عشر سنين ودلوقتي ان الاوان انك تستمتعي بكل لحظة في حياتك.
Cool! Cool!,حلو! حلو! 
"I need your ID, by the way.",ومحتاج بطاقتك بردو.
Do they need your ID for this thing?,هما بيطلبوا البطاقة في البتاع ده؟ 
I've skimmed five years off my actual age.,انا خنصرت من سني خمس سنين.
"No, honey. It's for the store's release contract.",لا يا حبيبتي عشان العقد بتاع المحل. 
Oh! Okay!,اه ماشي ماشي.
"Actually, I never give my ID to anyone. Okay?",انا مبديش بطاقتي لحد.
What am I supposed to do?,هعمل ايه طيب؟ 
"That's fine, okay!",خلاص خلاص اوكي! 
You can always be a silent partner.,خليكي بقى شريكة من الباطن.
What? Just do it.,طلعي!
I'll give it to Ola.,خلاص هديها لعلا!
I don't want him to see it.,تخديها انتي! ميشوفهاش!
"What do you mean, give it to Ola?",هتديها لعلا ايه؟ 
Don't be shy. We all look bad in our ID photo.,على فكرة كلنا صورنا وحشة في البطاقة، متحاوليش! 
I said I'll give it to Ola.,انا قولت هديها لعلا. 
"Hey, are you crazy?",انتي مجنونة ولا ايه؟
I said I'll give it to Ola.,قولت هديها لعلا.
"Hey, hey, relax!",اهدي! اهدي!
Take it easy.,في ايه؟ الله! 
This is not even yours!,واصلا دي مش بطاقتك. 
It's a man's ID. ,دي بطاقة راجل. 
His name is Reda.,واسمه رضا. 
But the photo is yours.,بس حاطت صورتك. 
Your name is Reda?,انتي اسمك رضا؟
Stop it! ,بس بقى! 
Stop it!,بس بقى!
Is your name really Reda?,اسمك رضا؟ بجد اسمها رضا؟
"Yes, her name is Reda.",اه اسمها رضا.
But it's a nice name.,بس حلو.
"Yeah, it's cute.",اه لطيف.
"So, why did they name you Reda?",وهما سموكي رضا ليه بقى؟ 
Was it a family vow?,عشان كان عليكوا ندر؟ 
Or that your dad really wanted a boy?,ولا بابا كان فاكرك ولد؟
"In fact, it was her grandfather's name; may he rest in peace.",ماهو ده اسم جدها الله يرحمه.
Ola!,علا!
It's perfectly normal!,والله انا شايفة انه عادي جدا. 
"I always liked your name, anyway.",انا بحب الاسم ده اصلا.
Cut it out!,خلاص بقى.
You could say that my life revolves around cleanliness.,تقدري تقولي ان النضافة هي محور حياتي.
Some people think of it as an obsession.,طبعا في ناس بتشوف ده هوس. 
These people are obviously idiots.,دي ناس مبتفهمش.
Do you know why all these diseases even exist?,تعرفي الامراض المنتشرة دي منتشرة ليه؟
Why?,لا!
Cause of poor hygiene!,قلة نضافة.
Of course. Me too,طبعا، انا كمان.
I'm literally the cleanest person you'll ever meet.,انا انضف واحد هتقابليه في حياتك حرفيا.
"Well, regarding tonight, this is the first time I ever used a dating app like this one. So, I don't know what people usually want to get out of it.",طيب بالنسبة للنهاردة هو اصل انا اول مرة يعني ادخل dating apps والحاجات دي فمش عارفة الناس بتبقى عايزة ايه من الموضوع ده. 
"You, for instance, what are your intentions on this date?",يعني انت مثلا هدفك ايه من التعارف ده؟
My intentions?,هدفي يعني ايه؟ 
A one-night stand.,هي ليلة واحدة.
Doesn't get much cleaner than that.,مفيش انضف من كدا.
"You see, real men don't exist anymore. ",اصل الرجولة اتعدمت. مبقاش في رجالة. 
"But luckily, chivalry runs in my veins.",انا الرجولة دي بتجري في دمي. 
You'll see.,وبكرة تشوفي. 
I was taught that no woman should ever have to pay for anything.,انا اهلي ربوني اني مفيش ست تصرف على البيت. 
Do you have 200 pounds?,معكيش 200 جنيه؟
"By the way, I think you need to be a bit more careful over the next few years.",على فكرة انتي محتاجة تاخدي بالك من نفسك الفترة الجاية شوية. 
I can tell that you have pear-shaped genes in your family.,شكلكوا عندكوا في العيلة كدا بتتخنوا من تحت. 
"Precisely, and honestly, I'm really not into heavy girls.",بالظبط، وانا بصراحة مبحبش الجو ده خالص.
"By the way, do you think you're gonna finish all that?",بقولك معلش هو انتي هتاكلي الاكل ده؟ 
"Anyway, I'm not really into these applications and whatnot.",بس فأنا مليش في حوار الابليكيشنات و الكلام ده.
My buddy kept pressuring me to go on the application; I just tried it.,انا الواد قعد يلح عليا في المحل اعمل التطبيق، قولت اعمله. 
"I don't wanna waste your time, though.",انا مش عايز اعطلك معايا. 
"I'm married anyway, and I'm against polygamy, you know?",انا اصلا متجوز وضد فكرة تعدد الزوجات.
Listen to me!,بقولك ايه؟ 
"Basically, I will grow fat in a pear shape. I don't like to pay the bill, and if you're looking for a one-night stand, you should know that I snore, Youssef.",انا مبدئيا بتخن من تحت و مبحبش ادفع الحساب ولو عايز تقضي معايا ليلة واحدة فأنا بشخر يا استاذ يا استاذ يوسف.
Enough!,قرف!
"Enough, for God's sake! ",خلاص بقى! 
Enough! Let me sleep.,خلاص!
I can tell you've been through a lot. ,انتي شكلك عانيتي جامد 
"Anyway, I'm Youssef Ahmed Abdel Raheem.",انا يا ستي يوسف احمد عبدالرحيم 
I own a travel agency.,عندي شركة سياحة ي
Maybe you've heard of it.,يمكن تكوني سمعتي عنها. 
It's called The Weekend Trip.,اسمها the weekend trip 
I've been divorced for two years.,مطلق من حوالي سنتين
I often travel outside of Egypt. But I like to get to know new people from time to time.,يسافر كتير برا مصر بس بجي من وقت للتاني اتكلم واعرف ناس جديدة 
I feel you and I are looking for the same thing.,وحاسس ان انا وانتي بندور على نفس الحاجة 
Do you think I might be right?,يا ترى احساسي صادق؟
"I don't know, guys. Do you think he might be right?",يا ترى احساسه مظبوط؟
This is the last chance. It's the last chance. Please.,اخر فرصة، اخر فرصة عشان خاطري.
Is it good?,كدا كويس.
It looks great. Greet them with a smile.,اه ابتسمي بقى كدا واضحكي بثقة.
I'm furious!,انا هتنقط.
Same here. What a smug asshole!,انا اللي هتنقط من سماجة امه. 
I really feel sorry for that girl.,والله البنت صعبانة عليا.
"You should feel sorry for me, not her.",تصعب عليكي؟ يصعب عليكي انا. 
I do!,ايوة انتي صعبانة عليا.
"Hi, how are you?",ازيك يا علا؟
"Hi, Omnia. ",هاي امنية!
How are you? ,اخبارك ايه؟
How is everything?,إزيك؟
"Hi, Hisham. All good?",هاي يا هشام ازيك؟
"Hi, Ola.",ازيك يا علا؟
"You remember my friend Nesrine, of course?",فاكر نسرين صاحبتي ها؟
Of course!,اه طبعا.
What a pleasant surprise!,مفاجأة حلوة.
"Your surprises are way better, Hisho!",مش احلى من مفاجاتك يا هيشو.
I really missed seeing your face.,واحشني والله مفتقداك.
Same here!,وانتي.
"First of all, I'm genuinely very sorry. When I met you at the bazaar, I had no idea, and I have been beating myself up repeatedly ever since.",قبل اي حاجة بس انا اسفة بجد اوي ان يوم ما قابلتك في البازار مكنتش اعرف والله. وحاسة بذنب فظيع من ساعتها. 
You can even ask Hisham.,حتى اسألي هشام.
"Oh, it's really not a big deal, honey.",لا عادي يا حبيبتي مفيش حاجة. 
It happens.,بتحصل.
"We'll just pretend that this is the first time we've ever met, okay?",احنا نعتبر ان احنا اتعرفنا على بعض النهاردة. اوكيه؟
See?,شوفتي؟ 
"Please, sit down!",طب، اتفضلوا!
Thank you. ,شكرا! 
"Sit down, Loulou.",اتفضلي يا لولو!
Because I really admire your success story.,وهي ان انا معجبة اوي ب your success story. 
And I still want to do an interview.,وعايزة اعمل معاكي انترفيو.
"For real. You just set a time that works, and let's do it.",تحددي الوقت الي انتي عايزاه وانا بتاعتك.
Can't she at least let me hate her?,طب تديني فرصة اكرهها؟ 
So I can follow all the other divorced women's lead?,امارس مهام المرأة المطلقة.
Sure! Thank you!,حاضر thank you.
"Omnia seems cool, Hisham.",لذيذة امنية، يا هشام. 
Have you told her to cut ties with her best friends yet?,يا ترى قولتلها تبعد عن صحابها العزاز؟ ولا لسه؟ 
Or is this something the young generation doesn't fall for?,ولا الجيل الجديد مبياكلش معاه الكلام ده؟
I don't ,لا، مش فاهمة.
I just wanted us to have this meeting so that we could talk in a more civilized way.,انا بس حبيت اقعد معاكي القعدة دي عشان نتكلم في الموضوع بشكل متحضر اكتر.
"Yes, of course! Civil!",اه، طبعا! حاضر!
"Also, for the sake of Nadia and Salim.",وعشان مصلحة نادية وسليم طبعا.
"Wow, look at that. She's got Salim's name right, too! ",ما شاء الله و كمان بتقول سليم صح. 
Wow! Good.,ما شاء الله.
"Actually, it's a tricky situation.",لا هو طبعا الوضع صعب.
"For them. I mean, the situation is difficult for them to accept, especially Nadia.",الوضع صعب عليهم يعني انهم يتقبلوه خاصة نادية. 
"You understand, of course. I'm sure you know why she's angry.",فاهم طبعا اكيد هي زعلانة ليه.
"I mean, excuse me, but the age difference between you and Nadia, is it ten years?",اصل معلش يعني بس هو الفرق بينك وبينها قد ايه يعني؟ عشر سنين؟
"Not even ten years, I think.",لا عشر سنين ايه؟ 
"The difference is, like, eight years maximum, I guess.",تمانية maximum مش اكتر من كدا بتهيالي.
"Yeah, around that much.",اه حاجة كدا يعني.
"Anyway, do you want to ask me for something?",طيب تحبو اساعدكوا ازاي انا؟ 
Would you like me to help tell them you plan to get married?,تحبوا امهدلهم مثلا ان انتو ناويين تتجوزوا؟
"I'm sorry, but wait a second.",معلش بس ثانية واحدة 
Neither of us is thinking about marriage.,هو مين اصلا ان احنا بنفكر في الجواز دلوقتي؟
Hisham knows very well I'm not in a rush to get married.,هشام عارف كويس اوي ان انا مش متسربعة خالص عالجواز. 
And maybe that's what he likes about me.,ويمكن هو حبني علشان كدا؟
She doesn't even have a damn!,ما شاءالله! دي مستبعية.
"Look, Ola!",بصي، يا علا! 
All I'm asking here is that you give me a chance. ,انا كل اللي بطلبه منك بس ان انتي تديني فرصة!
"I have to admit, I didn't wanna come today either.",على فكرة انا كمان مكنتش عايزة اجي النهاردة. 
"You have no idea how it feels for me to come and see the woman who used to be his wife, who knows everything about him.",انتي مش عارفة انا حاسة بإيه وانا جاية اقابل الست اللي كانت مراته اللي عارفة عنه كل حاجة.
"But please, try to put yourself in my shoes here.",بس بليز حاولي بردو تستوعبي الناحية التانية. 
"I mean, it's surely not easy for me to start my life with someone with this kind of baggage.",يعني انا اكيد مش سهل عليا ابدا ان انا ابدا حياتي مع حد عنده كل الbaggage ده. 
"Yet still, I'm here and willing to put in the effort for this to work out.",ومع ذلك انا هنا وعايزة ابذل المجهود ده for this to work out
"And maybe you need to make this effort, too. For your children, at least. To help your kids accept that their father has a new life, whether with me or someone else.",فيمكن انتي كمان محتاجة تعملي المجهود ده عشان ولادك حتى يقبلوا ان ابوهم بقى ليه حياة مختلقة معايا او مع غيري يا علا.
"And if you just think about it, you'll realize I'm not your enemy.",وعارفة لو بس فكرتي فيها هتلاقي ان انا مش عدوتك.
Hardly! You and I have much more in common. ,بالعكس انا وانتي على فكرة في ما بينا حاجات كتير اوي مشتركة. 
Much more than you think.,اكتر ما انتي تتخيلي.
The worst part is that I like her!,المصيبة اني مستلطفاها. 
"No, thanks. ",لا، شكرا!
"Later. Later, yeah.",بعدين!
"See, I'm not hungry, and Ola has a date.",اصل انا مش جعانة و علا عندها date يلا يا علا! 
"Yes, a date.",اه date 
Didn't you tell him?,انتي مقولتيلوش ولا ايه؟
Are you kidding?,ليه كدا؟
Yes. A date!,اه date
It's a date.,انا عندي date 
"And no, I didn't tell him because it's none of his business.",اه مقولتلوش لا عشان هو ده كلام ميخصهوش اصلا.
What do you mean?,يعني ايه ميخصنيش؟ 
That's nonsense.,ايه العبط ده؟
It's not nonsense.,يعني ميخصكش.
"What's the matter, Hisham?",في ايه يا هشام؟ مالك؟ 
She's right.,هي عندها حق.
"She respected our personal life, and we have to respect hers.",زي ما هي احترمت حياتنا الخاصة احنا كمان لازم نحترمها.
"Yeah. Tell him, Omnia, please. Bravo.",اه قوليله يا امنية لو سمحتي برافو.
"And by the way, Mom and the kids don't know about it yet, so let's not make it any worse.",و على فكرة ماما و الولاد ميعرفوش حاجة لسه. بلاش المصيبة تبقى دبل.
We've got enough on our plates.,فينا اللي مكفينا اليومين دول. 
One case at a time. ,حالة حالة. 
I'm sure you get it.,انتو فاهمين طبعا. 
"And Youssef, by the way, is a very decent and sweet individual.",ويوسف على فكرة شخص محترم اوي و جميل.
"Youssef, huh?",يوسف ها؟
So cool!,لذيذ اوي!
"I'm sure that when you meet him, you'll like him a lot.",انا متاكدة ان انت لما تعرفه حتحترمه جدا.
"Next time, we'll have a double date!",طيب احنا المرة الجاية double date بقى. 
"Well, let's not get carried away.",لا مش للدرجة دي يعني.
Forgive him. It's just a generational difference. ,معلش فرق اجيال. 
We're not that open-minded yet.,بس لسه مش للدرجة دي.
"Speaking of which, Hisham, has Omnia graduated high school yet?",صحيح يا هشام هي خلصت ثانوي ولا لسه؟
"Okay, shall we?",طيب، يلا بينا بقى! 
"Let's do this again sometime, let's go together. Maybe we'll even manage to get through lunch.",المرة الجاية بقى نتغدا مع بعض ان شاء الله. 
Bye-bye.,باي!
Study hard!,ذاكري كويس ها؟
"Bye, Ola.",باي يا علا!
Who are you?,انتي مين؟ 
What have you done with my friend Ola?,وديتي صاحبتي علا فين؟ 
"Actually, stay like this. ",ولا اقولك وحياة امي تخلي دي. 
The new you is way cooler.,دي الذ بكتير.
I will! ,ايوة! لا! 
That felt so amazing.,احساس فظيع فظيع. 
Where did I get that courage? ,جاتلي الجرأة دي منين؟ 
I can't believe it. ,انا مش مصدقة. 
He will be!,هيطلع.
I'm so proud of you!,فخورة بيكي اوي. 
I'm proud of you!,انا فخورة بيكي.
He stood you up. How childish.,شكله مجاش.
"Sorry, I was just, I mean, I was just making sure.",هاي، سوري. انا بس كنت بتاكد يعني. 
"Well, the last woman I met on the app, she was really something.",بس اخر واحدة بقى اتعرفت عليها من app دي اللي كانت خطيرة. 
"She first said, ""Would you have a problem if you had to date a married woman?""",اول حاجة قالتهالي قالتلي هو انت عندك مانع ان انت تdate ست متجوزة؟
"I guess I haven't really seen much, after what I'm hearing. What is with people?",لا ده انا على كدا بقى الحمد الله تمام. لا لا بعد اللي بسمعه ده.
"Well, you're a hero for surviving it, though.",بس انتي بطل بردو. 
As a woman.,بطل!
I already know.,عارفه.
"After all those stories, how can you still think you'll find someone decent, normal, and sane through dating apps?",هو انت ليه لسه عندك امل ان انت تقابل شخض شخص طبيعي طبيعي كدا زي الناس من dating apps؟
Keep going!,برافو!
"First of all, I travel a lot because of my job.",اولا انا بسافر كتير جدا بحكم شغلي. 
"Since I'm always on the road, I know that my only chance at meeting someone is through a dating app.",فأنا عارف ان انا معنديش اي فرصة تانية ان انا اتعرف بيها على حد غير dating apps.
"Second, my feeling that I will find what I'm looking for just got stronger.",ثانيا احساسي بان انا املي هيطلع في محله.
Unless you turn out to be a psycho who killed her husband and needs to be put on a leash!,الا بقى لو طلعتي مجنونة قتلتي جوزك ومقولتليش.
Sorry! Sorry!,سوري!
"Should I tell him that I don't want to die alone like So'ad, or not yet?",اقوله ان انا مش عايزة اموت لوحدي زي سعاد ولا مش دلوقتي؟ 
"Now, tell me about your work.",كلميني بقى عن مشروعك.
Seriously? ,اتكلم يعني؟ 
Do you want to hear?,عايزني اتكلم؟
"Excuse me, but are there men who listen?",معلش اصل هو في رجالة بتسمع؟
I will. ,اهو! 
Really?,يا سلام! 
It's just that I'm impressed.,لا اصل انا مبهورة. 
I really am.,بجد مبهورة! 
It's good to know.,بالراحة عليا!
"It's a small business, relatively small, but I've dreamt about it for a very long time, and I couldn't find a better time to ",هو مشروع صغير يعني بس انا بحلم بيه بقالي كتير جدا جدا وملقتش وقت احسن من كدا.
"No, wait a minute.",لا! ثانية واحدة! 
This is a trap.,ده فخ صح؟
It's a trap!,ده فخ.
I've heard these questions before.,انا عارفة الاسئلة دي. 
I don't understand. ,لا، مش فاهم.
"You're one of those guys who don't want their partner to have a career and think that women should stay in the kitchen all day, hmm?",يعني انت من الرجالة اللي هما مش عايزين الست تشتغل وعايزينها تقعد في البيت في المطبخ. 
"I mean, where's the catch?",لا، فين الخازوق؟ 
"Sorry, there must be a catch!",ما اصل في خازوق.
Why must there be a catch?,لا، هو مافيش خوازيق.
"Actually, I never see myself with a woman who doesn't have a career or other goals for herself. Then she'd have a lot of free time, and since I work and travel constantly, all her questions and conversations would revolve around ""What are you doing?""",انا عمري ما تخيلت ان انا ممكن ارتبط بواحدة مبتشتغلش واحدة فاضية. الست لما بتكون فاضية وانا بشتغل و بسافر طول الوقت فهتبقى الاسئلة و الحوار من نوعية انت بتعمل ايه؟ 
Why are you so late tonight?,انت اتاخرت ليه لغاية دلوقتي؟ 
Where are you traveling again?,انت مسافر ورايح فين؟ 
"This would lead to arguments, and I'm bad at that.",ونخش بقى في حاجات. انا مش حمل الكلام ده يعني. 
"Besides, my mother was a working woman all her life.",وبعدين انا امي كانت ست بتشتغل طول عمرها. 
"And maybe that's what helped her when, one day, my father was gone.",يمكن ده اللي نفعها لما صحيت في يوم وملقتش ابويا. 
My mother made sure I got everything.,امي عمرها ما حسستني ان انا ناقصني حاجة.
She was a powerful woman.,امي كانت ست جدعة. 
Rest in peace.,الله يرحمها.
That's it.,بس!
Hello? Second Chance?,الو second chance؟
That's right!,مظبوط!
It just exploded all over the internet.,فرقعة فظيعة في كل حتة. 
The kids told me about the comments.,اه الولاد حكولي ع اللي بيتكتب.
What do I know?,انا عارفة؟ 
"Okay, I'll call you back.",طيب، هكلمك تاني. 
